contract_id,employee_number,company_id_contract,country_id_contract,position,hierarchy_level,department,start_date,gross_salary, currency
DE1contract,1,F0070,DE,11,6,Telecom,21/02/2018,2640,EUR
DE2contract,2,F0070,DE,5,2,Telecom,23/02/2018,10066,EUR
FR3contract,3,E0062,FR,13,6,Engineering,28/02/2018,2544,EUR
DE4contract,4,F0070,DE,12,6,Telecom,26/10/2023,2550,EUR
DE5contract,5,E0062,DE,11,6,Engineering,24/04/2021,2501,EUR
ES6contract,6,F0070,ES,14,7,Telecom,11/03/2018,2338,EUR
FR7contract,7,A0080,FR,14,6,Consulting,13/03/2018,2711,EUR
FR8contract,8,G0073,FR,2,2,Telecom,14/03/2018,8766,EUR
IT9contract,9,E0062,IT,14,6,Engineering,16/03/2018,2938,EUR
DE10contract,10,F0070,DE,6,5,Telecom,19/03/2018,3771,EUR
DE11contract,11,F0070,DE,11,7,Telecom,20/03/2018,2069,EUR
IT12contract,12,E0062,IT,13,6,Engineering,22/03/2018,2869,EUR
DE13contract,13,E0062,DE,12,7,Engineering,22/03/2018,2134,EUR
FR14contract,14,E0062,FR,12,6,Engineering,13/12/2018,2747,EUR
ES15contract,15,E0062,ES,11,6,Engineering,28/03/2018,2758,EUR
FR16contract,16,B0060,FR,11,6,Testing,30/03/2018,2454,EUR
IT17contract,17,E0062,IT,11,7,Engineering,31/03/2018,2016,EUR
FR18contract,18,E0062,FR,11,6,Engineering,03/04/2018,2397,EUR
FR19contract,19,B0060,FR,13,7,Testing,07/04/2018,2339,EUR
DE20contract,20,F0070,DE,13,7,Telecom,19/07/2018,1960,EUR
IT21contract,21,G0073,IT,11,6,Telecom,09/04/2018,2513,EUR
ES22contract,22,A0080,ES,12,6,Consulting,09/04/2018,2641,EUR
FR23contract,23,A0080,FR,11,6,Consulting,11/04/2018,2968,EUR
DE24contract,24,F0070,DE,13,7,Telecom,12/04/2018,1980,EUR
DE25contract,25,F0070,DE,11,7,Telecom,12/11/2020,2307,EUR
FR26contract,26,A0080,FR,1,2,Consulting,15/04/2018,11813,EUR
FR27contract,27,D0090,FR,13,7,Back Office,17/04/2018,1955,EUR
DE28contract,28,F0070,DE,5,2,Telecom,19/04/2018,11271,EUR
FR29contract,29,A0080,FR,9,4,Consulting,24/05/2025,3768,EUR
DE30contract,30,F0070,DE,14,7,Telecom,27/10/2022,2055,EUR
DE31contract,31,E0062,DE,14,6,Engineering,25/04/2018,2788,EUR
DE32contract,32,F0070,DE,11,7,Telecom,26/04/2018,1809,EUR
IE33contract,33,E0062,IE,12,7,Engineering,29/09/2021,2282,EUR
DE34contract,34,F0070,DE,14,6,Telecom,25/05/2022,2775,EUR
FR35contract,35,G0073,FR,10,5,Telecom,30/04/2018,3735,EUR
DE36contract,36,F0070,DE,1,2,Telecom,01/05/2018,10672,EUR
DE37contract,37,C0092,DE,12,6,Engineering,23/04/2025,2548,EUR
DE38contract,38,E0062,DE,12,6,Engineering,03/05/2018,2766,EUR
IT39contract,39,E0062,IT,13,6,Engineering,07/05/2018,2548,EUR
DE40contract,40,F0070,DE,11,6,Telecom,08/05/2018,2582,EUR
IT41contract,41,E0062,IT,14,7,Engineering,07/07/2022,1816,EUR
ES42contract,42,A0080,ES,4,1,Consulting,09/05/2018,11970,EUR
IT43contract,43,E0062,IT,4,3,Engineering,28/03/2019,4139,EUR
IE44contract,44,E0062,IE,13,6,Engineering,15/05/2018,2497,EUR
DE45contract,45,F0070,DE,12,7,Telecom,20/05/2018,2283,EUR
DE46contract,46,F0070,DE,13,7,Telecom,25/05/2018,2160,EUR
ES47contract,47,A0080,ES,1,3,Consulting,27/05/2018,5514,EUR
DE48contract,48,G0073,DE,13,6,Telecom,17/11/2020,2708,EUR
DE49contract,49,F0070,DE,14,7,Telecom,03/06/2018,2331,EUR
FR50contract,50,F0070,FR,14,6,Telecom,30/07/2019,2702,EUR
DE51contract,51,G0073,DE,13,6,Telecom,27/05/2024,2626,EUR
DE52contract,52,D0090,DE,14,7,Back Office,09/06/2018,2215,EUR
DE53contract,53,E0062,DE,13,6,Engineering,09/06/2018,2805,EUR
DE54contract,54,E0062,DE,14,7,Engineering,12/06/2018,2248,EUR
FR55contract,55,A0080,FR,13,6,Consulting,13/06/2018,3096,EUR
FR56contract,56,B0060,FR,12,7,Testing,14/06/2018,2378,EUR
FR57contract,57,E0062,FR,13,6,Engineering,16/06/2018,2619,EUR
FR58contract,58,A0080,FR,13,6,Consulting,17/06/2018,2475,EUR
DE59contract,59,F0070,DE,14,6,Telecom,01/06/2020,2403,EUR
FR60contract,60,E0062,FR,13,6,Engineering,21/06/2018,2862,EUR
FR61contract,61,C0092,FR,2,1,Engineering,22/06/2018,10873,EUR
FR62contract,62,F0070,FR,13,7,Telecom,05/07/2020,1835,EUR
FR63contract,63,E0062,FR,14,6,Engineering,10/12/2023,2624,EUR
IT64contract,64,E0062,IT,12,6,Engineering,28/12/2020,3162,EUR
ES65contract,65,E0062,ES,14,7,Engineering,02/09/2020,2083,EUR
ES66contract,66,F0070,ES,11,7,Telecom,25/01/2025,2175,EUR
DE67contract,67,E0062,DE,14,6,Engineering,03/07/2020,2517,EUR
DE68contract,68,F0070,DE,13,7,Telecom,07/07/2018,2087,EUR
FR69contract,69,E0062,FR,13,6,Engineering,08/07/2018,2681,EUR
DE70contract,70,F0070,DE,12,7,Telecom,09/07/2018,2105,EUR
IT71contract,71,E0062,IT,14,7,Engineering,19/12/2022,2378,EUR
DE72contract,72,G0073,DE,14,6,Telecom,12/07/2018,2487,EUR
DE73contract,73,E0062,DE,10,5,Engineering,14/07/2018,4218,EUR
DE74contract,74,G0073,DE,13,6,Telecom,16/07/2018,3446,EUR
FR75contract,75,A0080,FR,5,2,Consulting,06/12/2019,8196,EUR
IT76contract,76,E0062,IT,14,6,Engineering,17/11/2019,3495,EUR
FR77contract,77,B0060,FR,1,3,Testing,27/09/2020,5411,EUR
DE78contract,78,F0070,DE,13,7,Telecom,23/07/2018,2005,EUR
DE79contract,79,G0073,DE,11,6,Telecom,27/07/2018,2503,EUR
DE80contract,80,E0062,DE,13,6,Engineering,17/11/2020,3209,EUR
ES81contract,81,A0080,ES,1,3,Consulting,03/08/2018,5098,EUR
DE82contract,82,E0062,DE,9,4,Engineering,05/08/2018,4398,EUR
DE83contract,83,G0073,DE,14,6,Telecom,06/05/2021,2601,EUR
IT84contract,84,F0070,IT,13,7,Telecom,28/03/2023,1984,EUR
DE85contract,85,F0070,DE,14,7,Telecom,09/05/2018,2093,EUR
IT86contract,86,E0062,IT,14,7,Engineering,05/04/2022,2143,EUR
IT87contract,87,F0070,IT,10,4,Telecom,09/08/2018,4346,EUR
IE88contract,88,A0080,IE,2,3,Consulting,14/10/2023,5323,EUR
IE89contract,89,E0062,IE,12,6,Engineering,10/08/2018,3426,EUR
IT90contract,90,E0062,IT,13,7,Engineering,10/08/2018,1865,EUR
DE91contract,91,G0073,DE,14,7,Telecom,11/08/2018,2235,EUR
FR92contract,92,A0080,FR,10,5,Consulting,04/05/2022,3763,EUR
FR93contract,93,B0060,FR,11,7,Testing,12/08/2018,1903,EUR
DE94contract,94,F0070,DE,12,7,Telecom,15/08/2018,2195,EUR
IE95contract,95,E0062,IE,13,6,Engineering,05/07/2018,2451,EUR
DE96contract,96,F0070,DE,14,6,Telecom,15/07/2022,2407,EUR
IE97contract,97,E0062,IE,13,6,Engineering,20/08/2018,2664,EUR
FR98contract,98,E0062,FR,7,5,Engineering,20/08/2018,4456,EUR
IT99contract,99,E0062,IT,14,6,Engineering,20/08/2018,2580,EUR
DE100contract,100,F0070,DE,14,6,Telecom,25/08/2018,2726,EUR
ES101contract,101,A0080,ES,11,6,Consulting,26/08/2018,2870,EUR
FR102contract,102,A0080,FR,9,5,Consulting,28/08/2018,3410,EUR
IT103contract,103,E0062,IT,12,6,Engineering,29/08/2018,2675,EUR
FR104contract,104,B0060,FR,12,7,Testing,29/08/2018,1970,EUR
DE105contract,105,F0070,DE,13,7,Telecom,30/08/2018,1968,EUR
ES106contract,106,E0062,ES,13,7,Engineering,13/12/2024,2360,EUR
ES107contract,107,F0070,ES,13,7,Telecom,02/08/2022,1857,EUR
IT108contract,108,D0090,IT,11,6,Back Office,04/09/2018,2498,EUR
DE109contract,109,F0070,DE,13,7,Telecom,18/08/2018,2262,EUR
FR110contract,110,B0060,FR,13,6,Testing,07/09/2018,2546,EUR
ES111contract,111,F0070,ES,11,7,Telecom,21/06/2023,2243,EUR
DE112contract,112,F0070,DE,14,6,Telecom,14/07/2022,2468,EUR
DE113contract,113,F0070,DE,11,7,Telecom,10/09/2018,2304,EUR
ES114contract,114,A0080,ES,10,5,Consulting,10/09/2018,4011,EUR
DE115contract,115,G0073,DE,13,7,Telecom,06/12/2024,1917,EUR
DE116contract,116,G0073,DE,14,7,Telecom,05/09/2024,2173,EUR
