clustering_company_id,hierarchy,salary,age,expected_leave_days,clustering_yearly_abscence_cost,position,Cluster,PCA1,PCA2
6,6,2640,35,7.8,950.4,11,0,0.7508803314222647,-0.6339332154150432
6,5,3771,27,3.4,591.76,6,2,-0.3192531206438357,-2.10944953503444
6,6,2726,48,5.0,629.08,14,0,1.0358857181917314,-0.03587807318620825
4,6,2461,58,29.6,3362.1,12,3,-0.5334034309910549,1.9162692990890111
6,7,2232,53,34.0,3502.52,13,3,0.16907814441873317,2.34788689095674
1,6,3173,37,17.7,2592.1,14,0,0.047168528412677234,0.3777249441345894
1,3,5428,32,17.7,4434.26,2,2,-3.5666269711584455,-1.7176492873714637
6,7,2071,28,3.4,324.99,13,0,1.8707091873171013,-0.7518778613315215
1,5,3649,30,17.7,2980.95,9,2,-1.0866094931449006,-0.6193224266765811
1,7,1969,32,17.7,1608.52,11,0,0.5770636500603065,0.1372203604662103
6,7,2077,29,3.4,325.93,13,0,1.851186630099904,-0.7131933011244062
5,5,4452,45,5.9,1212.31,9,2,-0.6565736130231209,-0.9911679555572912
1,5,4035,35,17.7,3296.28,7,2,-1.6205298287755248,-0.6355759217215183
1,6,2870,36,17.7,2344.57,11,0,-0.22845306819302014,0.05282121572909458
6,5,4161,62,40.8,7835.48,8,3,-2.858899492183821,2.45620122547955
4,4,4547,31,8.0,1678.89,6,2,-1.425236704476078,-1.8939968185716232
2,4,3674,61,13.0,2204.4,10,2,-1.526430355751395,0.13802568728126008
6,7,2237,36,7.8,805.32,12,0,1.3635897689435874,-0.24917242860230496
1,5,3578,29,8.5,1403.68,9,2,-0.5712785718908584,-1.3709433426473276
2,7,1931,28,25.2,2245.9,11,0,0.4739579145366034,0.5022605820371597
5,7,2199,45,5.9,598.8,13,0,1.3449895336201074,0.06479718337143237
2,4,3706,47,6.3,1077.59,7,2,-1.3655972885551553,-1.239265770587716
6,7,2329,35,7.8,838.44,11,0,1.209096380196598,-0.3967323893945496
6,5,3935,43,5.0,908.08,6,2,-0.7384626578001031,-1.3711957288217693
1,5,3410,29,8.5,1337.77,9,2,-0.5128027143801498,-1.3551901613102342
2,6,3220,31,15.0,2229.23,14,0,0.3501474816599676,-0.053196224532363466
1,7,1954,31,17.7,1596.27,14,0,1.0232303823431652,0.39574905733119625
5,3,5305,49,5.9,1444.59,4,2,-2.4127601544605723,-1.8356915053991427
5,6,2689,41,5.9,732.24,13,0,0.904067655065453,-0.3531618264065526
4,6,2800,35,8.0,1033.85,12,0,0.6525459684042346,-0.5590550605905809
7,7,2374,29,3.4,372.54,12,0,1.7074929531706302,-0.8375419127173456
7,3,5526,37,7.8,1989.36,1,2,-2.6467813150262693,-2.437541387202944
5,7,1812,55,12.5,1045.38,12,0,0.9158375892293086,0.8460636468479928
1,3,5754,52,18.0,4780.25,3,2,-3.9390064648411283,-0.8155651930312149
5,5,3035,40,5.9,826.45,10,0,0.034965471359855164,-0.9344834508284937
5,6,2675,38,20.5,2530.96,12,0,0.1894747467020531,0.4874726858362092
6,7,1813,30,7.8,652.68,12,0,1.6148300469626626,-0.4442271288298451
6,5,3855,57,32.2,5729.12,10,3,-1.8429299593007638,1.7449588500082025
6,6,2406,32,7.8,866.16,13,0,1.1654299711983365,-0.5310609274711369
5,6,2643,29,21.5,2622.67,13,0,0.4607520984498207,0.30463682213048904
6,6,2499,60,40.8,4705.81,13,3,-0.7405709403143759,2.91743384325261
6,6,2471,29,3.4,387.76,13,0,1.3790718760190546,-0.9687942758279422
6,5,3697,38,7.8,1330.92,9,2,-0.2970974443799226,-1.0241407788087664
6,2,9505,36,7.8,3421.8,5,1,-3.867445531812209,-2.6884459110153607
6,7,1926,30,7.8,693.36,11,0,1.4354597635722046,-0.5544146702059312
5,6,2785,29,21.5,2763.58,14,0,0.5365807404605107,0.4013836452160017
2,7,1970,33,15.0,1363.85,12,0,0.8882212029681413,0.10322968780354488
5,4,4564,48,5.9,1242.81,8,2,-1.2386812199373414,-1.190980336209974
6,7,2340,28,3.4,367.2,13,0,1.7885581379910795,-0.785232250222194
6,7,2033,29,3.4,319.02,13,0,1.864625021051737,-0.707738304474107
6,6,2784,27,3.4,436.87,13,0,1.3188651713712358,-1.0864623757060388
4,6,2439,24,2.1,236.4,13,0,1.3555419643057023,-1.2774241213355437
5,6,2584,33,20.5,2444.86,11,0,0.17803771397926524,0.1932684235735632
2,3,4276,43,6.3,1243.33,1,2,-2.678733131335352,-2.2593451758697496
5,5,4094,41,5.9,1114.83,7,2,-0.75039347625497,-1.3080416895187887
6,6,2451,40,5.0,565.62,11,0,0.8429732198706137,-0.6171850885773505
4,4,4193,30,8.0,1548.18,7,2,-1.1451102724218545,-1.8000594020417457
6,7,1968,28,3.4,308.82,13,0,1.9021662088205562,-0.7391074805648785
5,7,2297,24,21.5,2279.33,13,0,1.0590599324607965,0.320030972426869
6,6,2487,31,7.8,895.32,13,0,1.155401332834614,-0.5784210692345432
6,7,2168,50,34.0,3402.09,14,3,0.39878131092995905,2.325053773766994
6,7,2294,39,7.8,825.84,12,0,1.2910123516606635,-0.13646765727457963
6,5,4410,24,3.4,692.03,8,2,-0.17992809307810104,-2.1087222200338336
6,7,1985,24,3.4,311.49,12,0,1.8270354793367263,-0.9980526362173687
5,7,2156,32,20.5,2039.91,11,0,0.7394625307192148,0.37028658432195083
6,6,2528,43,5.0,583.38,11,0,0.7653572043993851,-0.5077175084389766
6,6,2432,24,3.4,381.64,12,0,1.338734190544171,-1.260224840050831
5,3,4669,43,5.9,1271.4,5,2,-1.958381099874127,-1.903704108965306
5,7,2360,28,21.5,2341.85,13,0,0.9595162912732362,0.47669220290295083
6,6,2468,31,7.8,888.48,12,0,1.021202915688756,-0.6756833228671321
6,6,2497,32,7.8,898.92,13,0,1.1342887603781955,-0.5399715425064266
6,7,1919,46,5.0,442.85,14,0,1.6803129209498122,0.1844233854946149
1,6,3470,41,26.6,4260.09,12,3,-0.875409093955406,1.01150502765675
3,7,1856,24,2.0,171.32,14,0,1.9356667945298875,-0.9131257850165798
6,5,4280,46,5.0,987.69,8,2,-0.6201124060407172,-1.0941712951762592
5,6,2738,28,21.5,2716.94,11,0,0.1536417052234374,0.06537308108467078
6,7,2072,63,40.8,3901.74,11,3,-0.45923028723421977,3.0025322855477485
7,6,2535,48,5.0,585.0,11,0,0.762382576896579,-0.29977541955123954
4,3,4989,46,16.4,3776.29,1,2,-3.4238663317168156,-1.324639541286261
6,7,1857,25,3.4,291.41,13,0,1.9891349917417824,-0.843629326796866
5,3,4050,32,20.5,3831.92,4,2,-2.5020018781544815,-1.1934826683576332
5,7,2258,31,20.5,2136.42,13,0,0.992809133035516,0.5267923076162164
7,7,1957,46,5.0,451.62,14,0,1.7559090190523083,0.19167155019833568
4,6,2384,39,8.0,880.25,12,0,0.7248400879683715,-0.361098996477685
5,6,3262,36,20.5,3086.35,14,0,0.24300299914361448,0.5935591856344837
5,4,3610,24,21.5,3582.23,9,2,-1.1589386950786393,-0.7186754124101362
5,7,2253,33,20.5,2131.68,12,0,0.8189718230130284,0.5066391392018371
5,7,2296,57,12.5,1324.62,14,0,0.977192154182495,1.0892552545595724
5,5,3207,35,20.5,3034.32,7,2,-1.0513334224847737,-0.3452292108028232
1,6,2655,63,40.2,4926.05,13,3,-1.3027987072748641,2.94960685451697
4,6,2498,50,25.1,2893.84,11,3,-0.3640060035825266,1.1819563135922906
6,7,1822,24,3.4,285.91,14,0,2.1582161285072416,-0.7795965661028464
5,6,2904,38,20.5,2747.63,11,0,-0.05392625266510306,0.3831610198999384
2,7,1896,24,25.2,2205.19,14,0,0.9838944263627462,0.6417318324274698
6,7,2023,46,5.0,466.85,13,0,1.5064590421647506,0.07339148485843901
7,7,2368,31,7.8,852.48,11,0,1.354221990843628,-0.5466665848326546
6,6,2467,43,5.0,569.31,14,0,1.2069030078234741,-0.20336328705293946
6,7,1925,28,3.4,302.08,14,0,2.055997261494658,-0.6346520860953572
5,5,4071,56,12.5,2348.65,7,2,-1.3708230310796838,-0.1818985956434464
5,7,2235,33,20.5,2114.65,12,0,0.8270442065782814,0.507047111127602
4,6,2642,24,2.1,256.07,13,0,1.2957556772944139,-1.3041592244473
6,7,2262,25,3.4,354.96,13,0,1.8654503937927704,-0.8938469488794794
5,6,2680,58,12.5,1546.15,14,0,0.4612047933480998,0.8950290879744285
5,3,4817,58,12.5,2779.04,2,2,-3.0979101335063275,-1.064420149052127
2,4,3791,43,6.3,1102.31,10,2,-0.900756131852584,-1.1086905608017947
7,7,2127,30,7.8,765.72,12,0,1.5950857574243138,-0.4633741462927708
3,4,3986,43,1.0,183.97,10,2,-0.589936852407723,-1.5426237160330432
5,4,3623,43,5.9,986.57,10,2,-0.5617672525055153,-1.0871416982633568
5,4,4448,24,21.5,4413.78,10,2,-1.4010700079412572,-0.6335760323319914
5,6,2406,24,21.5,2387.49,14,0,0.7981766179292069,0.21058144892959618
5,7,2115,24,21.5,2098.73,14,0,1.2829053532274084,0.4221992169381951
2,7,2061,24,25.2,2397.1,12,0,0.622006324287005,0.4443434215428787
6,7,2069,29,3.4,324.67,11,0,1.5722297767443385,-0.9104473738763152
2,6,2546,27,25.2,2961.19,13,0,0.12126490004677003,0.4575221443600025
2,2,9000,45,6.3,2616.92,3,1,-4.341816773387665,-2.693550604529232
6,6,2740,33,7.8,986.4,11,0,0.7520401433854653,-0.7225825304562739
5,5,4203,55,12.5,2424.81,9,2,-1.122095654905962,-0.03232994217844703
6,6,2459,46,5.0,567.46,11,0,0.7342813017926844,-0.3815296789945959
7,6,2742,43,5.0,632.77,12,0,0.9255470545282972,-0.42150005144331076
6,6,2475,58,32.2,3678.23,13,3,-0.3327422487497942,2.224094378645088
5,6,2524,45,5.9,687.3,14,0,1.0278496526259884,-0.07831105245121131
6,7,2333,57,32.2,3467.2,12,3,-0.026380152361359484,2.285663847300105
5,5,3099,24,21.5,3075.16,6,2,-0.9958058899391069,-0.8007446625803337
5,6,2646,24,21.5,2625.65,14,0,0.6885337538690551,0.2065661518512421
6,7,2243,27,3.4,351.98,11,0,1.5544708557639955,-1.0108788791192036
6,7,1834,60,40.8,3453.56,14,3,0.1631053610244848,3.1583757709648923
6,6,2633,34,7.8,947.88,13,0,1.0523671269473764,-0.4744310752490245
5,7,2223,56,12.5,1282.5,13,0,0.8820351929886749,0.9558181265536342
5,5,4006,37,20.5,3790.29,7,2,-1.4450434174357423,-0.28447770570093645
6,7,2284,24,3.4,358.41,11,0,1.5950217097394381,-1.1342492278069516
1,6,3432,50,18.0,2851.2,12,3,-0.5891714566506308,0.7049411051689618
5,6,2557,25,21.5,2537.33,12,0,0.43010208785925536,0.04923815002255755
6,2,8830,60,40.8,16627.57,4,1,-7.328650197625705,1.816474645014877
5,6,2863,57,12.5,1651.73,13,0,0.2683730781577031,0.7436557938801447
7,6,2449,47,5.0,565.15,11,0,0.8074890889052025,-0.329356645426916
6,6,2468,64,40.8,4647.43,14,3,-0.6514634153038634,3.17124408780898
5,6,2412,25,21.5,2393.45,13,0,0.6370435690289209,0.1507878403493255
7,7,2249,25,3.4,352.92,12,0,1.8164301092213944,-0.9797582524246558
5,7,1899,25,21.5,1884.39,12,0,1.08249188796164,0.26699678964851015
5,1,11853,45,5.9,3227.66,3,1,-5.3229767377231285,-3.220923510860617
6,6,2479,25,3.4,389.01,13,0,1.4473915313667867,-1.1275017712339843
2,7,2129,58,10.2,1002.27,13,0,0.7083690009323412,0.8474680258858243
5,5,3504,47,5.9,954.17,7,2,-0.6640115085409971,-1.007054121294029
7,7,2002,25,3.4,314.16,13,0,2.032563297705453,-0.8500092921172822
1,4,4051,64,40.2,7516.16,8,3,-3.5837416238342445,2.211262166376939
5,7,2003,32,20.5,1895.15,11,0,0.8080786974616013,0.3737537037159226
6,7,2304,61,40.8,4338.61,11,3,-0.5673002963136329,2.9463260580890704
4,7,1870,38,8.0,690.46,12,0,1.2710765688755867,-0.144059236080678
4,7,2019,60,26.2,2441.44,11,3,0.002589121377154632,1.8561126578729408
6,6,2440,25,3.4,382.89,11,0,1.177901110809275,-1.3209114712060877
2,6,3029,28,25.2,3522.96,14,0,0.008667275065615454,0.5985819072197847
6,6,2469,62,40.8,4649.32,14,3,-0.6167020736044064,3.0924851829343614
6,7,1959,56,32.2,2911.38,14,3,0.4770528088916664,2.427024795572334
5,6,3368,49,5.9,917.13,11,0,0.2595774388163011,-0.31011034769370277
7,7,2033,38,7.8,731.88,11,0,1.3450294823537214,-0.2378627648864718
7,3,5279,55,32.2,7845.41,3,1,-4.186349216712693,0.6368100221587223
6,5,4070,51,34.0,6386.77,8,3,-2.2345281423276218,1.4653118207579903
1,5,4011,29,8.5,1573.55,10,2,-0.5812917662063724,-1.3124232453507847
5,6,2398,48,5.9,652.99,12,0,0.7344927843024259,-0.1445137908252024
5,6,3409,49,5.9,928.3,11,0,0.24619760568623805,-0.3145859584730027
7,6,2661,59,32.2,3954.66,12,3,-0.5050487085576535,2.184681878896853
7,6,2596,55,32.2,3858.06,13,3,-0.25807246438393927,2.123055940434733
6,6,2524,31,7.8,908.64,14,0,1.2834399500380265,-0.4829213548397041
6,2,8916,58,32.2,13250.55,5,1,-6.384661098007244,0.9047460141682405
5,7,2342,51,7.5,810.69,14,0,1.2681327963949292,0.4975052209238838
5,7,2187,25,21.5,2170.18,12,0,0.9509208136645523,0.26217817636447344
5,7,1885,52,7.5,652.5,14,0,1.4056852611604949,0.5824955893741401
5,6,3356,42,5.9,913.86,11,0,0.38732684982769516,-0.5848015131337652
7,7,1917,30,7.8,690.12,13,0,1.8076505182823948,-0.343688476802145
5,7,2205,31,20.5,2086.27,14,0,1.1572793540422108,0.6271154853672571
3,6,2441,31,7.8,878.76,11,0,0.6266121923666077,-0.8069607267808414
6,6,2722,55,32.2,4045.31,11,3,-0.6960248087901822,1.9190912093692258
1,7,1832,25,8.5,718.71,13,0,1.37358879978347,-0.5549476832815688
1,4,4441,35,17.7,3627.96,10,2,-1.7227871139668656,-0.5608910615228359
5,6,2632,43,5.9,716.71,11,0,0.6058872842090761,-0.4663277541210549
1,6,2709,40,26.6,3325.82,14,3,-0.1961891427813221,1.1600574717856267
5,7,2207,25,21.5,2190.02,11,0,0.8010846887136372,0.16272000059102462
2,7,2158,31,15.0,1494.0,12,0,0.8479414043622606,0.013984350283681536
6,7,2217,62,40.8,4174.78,14,3,-0.10909469383622064,3.274628225853826
7,7,2173,26,3.4,340.99,14,0,2.1033512815849096,-0.7326611465195411
5,4,4101,50,7.5,1419.58,10,2,-0.9298786246983523,-0.7340242048351153
6,6,2582,31,7.8,929.52,12,0,0.9821908493866014,-0.6868460713728798
1,4,4456,62,40.2,8267.59,8,3,-3.7967493769866874,2.170507470548786
5,3,4473,30,20.5,4232.15,3,2,-2.7970269295682595,-1.381046940841906
6,6,2486,25,3.4,390.11,14,0,1.5859539101246116,-1.0292468123512388
5,7,2289,29,21.5,2271.39,14,0,1.1149630576226706,0.6164309321540182
6,7,2168,28,3.4,340.21,12,0,1.700385646332817,-0.8630280827786854
5,6,3294,25,21.5,3268.66,14,0,0.3748115478554009,0.2351507402430897
1,3,4982,25,8.5,1954.48,4,2,-2.396283254440282,-2.56942195457591
5,6,2497,30,20.5,2362.55,14,0,0.6922266011192403,0.3743224914431442
6,7,1926,25,3.4,302.23,13,0,1.9680640767072828,-0.8521858251906118
6,6,2660,49,5.0,613.85,11,0,0.6171335225706054,-0.2862596398714502
6,7,2004,25,3.4,314.47,13,0,1.9442432050374383,-0.8618572721139255
6,6,2398,37,7.8,863.28,11,0,0.7983144967828006,-0.5313794241648987
6,6,3451,28,3.4,541.54,13,0,1.09747529928184,-1.1297366347015985
6,6,2757,25,3.4,432.64,12,0,1.2217900972092026,-1.261093820371105
5,7,1914,38,20.5,1810.94,12,0,0.8825509173351092,0.7114651164796914
5,5,3583,61,20.2,3340.46,7,2,-1.6646549809376077,0.6480735245007607
2,4,4297,33,15.0,2974.85,7,2,-1.807157403255195,-1.141199930778112
7,7,2353,58,32.2,3496.92,13,3,0.1734129950832173,2.4367478531631495
5,5,3576,43,5.9,973.77,6,2,-0.7574435536996547,-1.271753307173172
5,5,3843,27,21.5,3813.44,9,2,-0.9666659674680184,-0.397539857112086
6,6,2727,25,3.4,427.93,11,0,1.0902519610880348,-1.356497041105955
6,5,3221,56,32.2,4786.9,9,3,-1.6195424007629142,1.5768165055103205
4,7,2250,25,2.1,218.08,13,0,1.745304179691224,-1.0063568797074762
5,6,2590,35,20.5,2450.54,12,0,0.28066582060734285,0.37111300301894073
7,7,2175,30,7.8,783.0,12,0,1.5786596242444593,-0.46807425092676985
6,7,1802,27,3.4,282.78,11,0,1.6891498416279718,-0.9561976110681422
4,7,1924,25,2.1,186.48,12,0,1.7006173526282202,-1.0625468917479108
1,6,2419,46,26.6,2969.79,14,3,-0.1574733042517607,1.3927181931154917
7,5,3826,32,7.8,1377.36,9,2,-0.1473899106905555,-1.2617451008226859
5,6,3073,41,5.9,836.8,14,0,0.9194647824120424,-0.29596429555954606
1,6,3114,66,40.2,5777.67,12,3,-1.7780775647725042,3.0119533019507863
1,6,2944,61,40.2,5462.25,11,3,-1.7260628774914817,2.699692639784693
6,7,2338,36,7.8,841.68,12,0,1.32902644704431,-0.25906223210301127
6,7,2185,25,3.4,342.88,11,0,1.607564455471705,-1.0825445232376425
7,6,2879,35,7.8,1036.44,12,0,0.8975023031736555,-0.5466136076704653
4,7,2059,60,26.2,2489.81,11,3,-0.017257660917283948,1.8565574823608602
7,7,2352,43,5.0,542.77,14,0,1.6830617448420901,0.02815289518385025
5,6,2769,25,21.5,2747.7,12,0,0.33325173728134144,0.0456907050933173
7,7,2289,25,3.4,359.2,14,0,2.0856145761804297,-0.7864721503002693
1,3,5517,57,11.7,2979.18,5,2,-3.222405647628022,-0.9732902815021548
6,7,1995,56,32.2,2964.88,14,3,0.4573838118438734,2.428704850635021
5,6,2869,36,20.5,2714.52,13,0,0.2785511228516482,0.5033427910050869
6,7,2205,42,5.0,508.85,11,0,1.2378014927509675,-0.303409879958221
4,6,2508,44,16.4,1898.36,14,0,0.5235376368037925,0.6218395832182093
2,7,2062,25,25.2,2398.26,11,0,0.4631281935678436,0.3846542221776903
1,6,3108,28,8.5,1219.29,11,0,0.24319411865320759,-0.9613070319257312
6,6,2602,49,5.0,600.46,13,0,0.9170247794936106,-0.08137324474426821
5,6,2639,37,20.5,2496.9,12,0,0.22330997520984136,0.4488599144942058
3,7,2050,31,7.8,738.0,13,0,1.3936059861664658,-0.3636809696032557
6,5,3811,56,32.2,5663.73,10,3,-1.8011994112122374,1.7034765915213788
1,6,2430,29,8.5,953.31,12,0,0.6021934139209523,-0.7591784776887516
5,6,2384,25,21.5,2365.66,11,0,0.3684352261187248,-0.046989730935320835
